,BBL,Longitude,Latitude,age,BldgArea,UnitsTotal,EER_km,WER_km,NER_km,EUI_2016_x,Group_mean_EUI_2016,Group_mean_water_intensity,Group_mean_naturalgas_intensity,Pred_EUI_lr,EER_lr,Pred_WUI_lr,WER_lr,Pred_NUI_lr,NER_lr,EUI_2016_y,avgEER,avgWER,avgNER
52,5003270060,-74.1070176529,40.618975511,50,127800,143,1.6458305622,0.872626348855,2.33357713593,139.4,84.6988767869,67.4859292035,49.170764382,127.637489911,1.09215560489,24.7352976376,2.38080822244,47.7952402533,2.40073636852,139.4,1.36899308354,1.62671728565,2.36715675222
53,1008650007,-73.9831924057,40.7489752939,38,64598,58,0.900838392367,0.665620234175,0.0364291145268,76.3,84.6988767869,67.4859292035,49.170764382,130.218258879,0.585939334906,52.7007261343,0.852360172145,44.7551267968,0.0400232897378,76.3,0.743388863636,0.75899020316,0.0382262021323
54,1002480070,-73.9901924679,40.7108020446,30,83904,109,1.43685494562,1.2321086926,2.06778280889,121.7,84.6988767869,67.4859292035,49.170764382,130.943036946,0.929411772007,56.1636093696,1.4804960175,50.2366932353,2.02390831763,121.7,1.18313335882,1.35630235505,2.04584556326
55,1002630008,-73.9789847283,40.7129496929,62,923000,837,1.97614141353,0.891646458848,1.61490806882,176.0,89.0624521073,50.5918007663,48.4111372627,59.9143236435,2.93752794486,35.0685669991,1.28633713494,49.1773597,1.58974651472,176.0,2.4568346792,1.08899179689,1.60232729177
56,1002830024,-73.9905130699,40.713782883,16,74453,89,1.00355522085,0.670065605285,1.21475228339,85.0,84.6988767869,67.4859292035,49.170764382,132.899484017,0.639581113715,53.5263604582,0.844817387413,49.7689498789,1.20015187088,85.0,0.821568167285,0.757441496349,1.20745207714
57,1003310065,-73.9824397456,40.7153601722,68,299510,263,1.1003514689,1.38322809111,1.33703053406,98.0,89.0624521073,50.5918007663,48.4111372627,100.091162384,0.979107422328,47.4219003384,1.47568949158,47.8119710088,1.35378582692,98.0,1.03972944561,1.42945879135,1.34540818049
58,1003430043,-73.983431105,40.7179486282,26,121800,1,0.969316278025,1.05607199665,0.978716877469,82.1,84.6988767869,67.4859292035,49.170764382,102.039027831,0.804594102325,30.8157313684,2.31277976654,44.4215802497,1.08335310694,82.1,0.886955190175,1.6844258816,1.0310349922
59,3087207514,-73.9571695109,40.5769093967,13,93105,63,0.864238143136,0.804167633764,0.906164964568,73.2,84.6988767869,67.4859292035,49.170764382,91.1178110913,0.803355558296,53.7484671986,1.00970321255,68.4403430405,0.651031569751,73.2,0.833796850716,0.906935423156,0.77859826716
60,4033530001,-73.8297756969,40.7097543633,90,124343,144,0.871322062342,0.85810480323,1.16708420047,73.8,84.6988767869,67.4859292035,49.170764382,84.3440824247,0.874987288716,99.484179583,0.582102604079,66.2109619078,0.866720865878,73.8,0.873154675529,0.720103703655,1.01690253317
61,4032340051,-73.8508579006,40.7213198541,88,174480,228,0.136955771317,0.824319982795,0.00203978989726,11.6,84.6988767869,67.4859292035,49.170764382,95.0775056162,0.122005724959,99.7910923574,0.557464586125,64.1309341096,0.00156395707968,11.6,0.129480748138,0.69089228446,0.00180187348847
